시도,시군구,안전센터,연락가능업체,센터당업체,최근접거리_평균km,매칭공백센터
대구광역시,남구,3,21,7.0,0.37,0
대구광역시,서구,4,24,6.0,0.31,0
대구광역시,동구,6,34,5.67,0.9,0
대구광역시,달서구,7,37,5.29,0.75,0
경상북도,안동시,5,24,4.8,4.41,1
경상북도,구미시,10,47,4.7,1.41,0
대구광역시,중구,4,18,4.5,0.39,0
대구광역시,수성구,7,26,3.71,0.62,0
대구광역시,북구,10,34,3.4,0.68,0
경상북도,포항시,13,44,3.38,2.62,2
경상북도,경주시,9,27,3.0,5.27,3
경상북도,상주시,5,13,2.6,5.04,2
경상북도,청송군,2,5,2.5,1.78,0
경상북도,영천시,4,9,2.25,4.43,1
경상북도,울진군,5,11,2.2,1.35,0
대구광역시,군위군,2,4,2.0,7.61,1
경상북도,울릉군,1,2,2.0,0.73,0
경상북도,영주시,3,5,1.67,3.71,0
대구광역시,달성군,8,13,1.62,2.62,0
경상북도,김천시,6,9,1.5,4.38,1
경상북도,영양군,2,3,1.5,3.83,0
경상북도,칠곡군,7,7,1.0,3.45,0
경상북도,문경시,5,4,0.8,8.48,3
경상북도,경산시,6,4,0.67,3.84,0
경상북도,영덕군,3,2,0.67,5.29,1
경상북도,고령군,2,1,0.5,7.05,0
경상북도,예천군,4,2,0.5,7.19,1
경상북도,봉화군,3,1,0.33,10.75,2
경상북도,성주군,3,1,0.33,11.18,2
경상북도,의성군,3,1,0.33,9.72,1
경상북도,청도군,3,0,0.0,17.63,3
