지회,회원수,대상지역,공식_문의창구,출처
경북 지회,3636,True,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
대구 지회,629,True,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
경남 지회,3324,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
경기 지회,3030,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
충남 지회,2894,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
전남 지회,2561,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
전북 지회,2209,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
강원 지회,2183,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
충북 지회,1956,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
서울 지회,495,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
제주 지회,478,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
대전 지회,461,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
부산 지회,380,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
광주 지회,379,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
인천 지회,265,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
울산 지회,210,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
세종 지회,116,False,한국양봉협회 사무국 02-3486-0882~5 (지부·지회 연락처는 사무국 경유 안내),"한국양봉협회 누리집 지회 및 회원 현황 (korapis.or.kr/about/branchStatus), 2026-09-17 확인"
