센터ID,시도,소방서명,119안전센터명,시군구,주소,전화번호,위도,경도,좌표_출처,좌표_정밀도,최근접업체명,최근접업체_거리km,반경5km_업체수,반경10km_업체수,최근접_연락가능업체_거리km,반경10km_연락가능업체수
C276,대구광역시,강북소방서,구암119안전센터,북구,대구광역시 북구 구암서로 71,053-607-5931,35.94287,128.565528,OSM지오코딩(건물/주소),정확,이화컴퍼니 주식회사,0.6,30,177,0.6,92
C277,대구광역시,강북소방서,군위119안전센터,군위군,대구광역시 군위군 군위읍 군위공단길 65,053-607-5981,36.207572,128.560383,소방청좌표(명칭·도로명일치),정확,그린방역,2.7,7,9,2.7,5
C278,대구광역시,강북소방서,금호119안전센터,북구,대구광역시 북구 한강로 105,053-607-5971,35.896849,128.519321,OSM지오코딩(도로중심),근사(도로중심),엔에스클린닥터,0.12,48,298,0.12,142
C279,대구광역시,강북소방서,무태119안전센터,북구,대구광역시 북구 호국로43길 21,053-607-5961,35.920917,128.596901,소방청좌표(주소일치),정확,다문화인재지원협동조합,0.28,71,297,2.11,145
C280,대구광역시,강북소방서,읍내119안전센터,북구,대구광역시 북구 칠곡중앙대로 570,053-607-5941,35.946489,128.551526,소방청좌표(주소일치),정확,청소하는아저씨,0.49,29,138,0.71,74
C281,대구광역시,강북소방서,의흥119안전센터,군위군,대구광역시 군위군 의흥면 읍내길 23,053-607-5991,36.17673,128.71394,소방청좌표(명칭·도로명일치),정확,한국환경,7.73,0,1,12.51,0
C282,대구광역시,강북소방서,태전119안전센터,북구,대구광역시 북구 칠곡중앙대로 184,053-607-5951,35.912321,128.548797,소방청좌표(주소일치),정확,청정네이버 대구경북,0.78,63,321,1.2,153
C283,대구광역시,강서소방서,다사119안전센터,달성군,대구광역시 달성군 다사읍 달구벌대로 920,053-601-5621,35.855442,128.467437,소방청좌표(주소일치),정확,(주)디와이에코,1.42,22,179,2.19,82
C284,대구광역시,강서소방서,대천119안전센터,달서구,대구광역시 달서구 달서대로58길 129,053-601-5651,35.824945,128.50675,소방청좌표(주소일치),정확,(주)지성엔테크,1.35,108,244,1.89,121
C285,대구광역시,강서소방서,매곡119안전센터,달성군,대구광역시 달성군 다사읍 달구벌대로 753,053-601-5661,35.861149,128.454126,소방청좌표(주소일치),정확,(주)디와이에코,2.2,18,142,2.46,67
C286,대구광역시,강서소방서,성서119안전센터,달서구,대구광역시 달서구 성서로 357,053-601-5631,35.849507,128.506873,소방청좌표(주소일치),정확,(주)광명티엠씨,0.16,99,279,0.31,137
C287,대구광역시,달서소방서,도원119안전센터,달서구,대구광역시 달서구 도원로 8,053-607-2970,35.809002,128.535639,소방청좌표(주소일치),정확,그린라인 대구경북센터,0.69,96,271,0.94,130
C288,대구광역시,달서소방서,본리119안전센터,달서구,대구광역시 달서구 대명천로 134,053-607-2950,35.839694,128.545082,소방청좌표(주소일치),정확,청심토탈케어,0.52,180,350,0.72,164
