no,업체ID,업체명,시도,시군구,도로명주소,지번주소,우편번호,위도,경도,좌표_상태,전화번호,전화번호_유형,연락가능,영업상태,인허가일자,보호복_수,수동분무기_수,동력분무기_수,초미립자살포기_수,진공청소기_수,방독면_수,개방자치단체코드,최종수정일시
1,PHMB520135130030042500005,(주)그린이지,경상북도,경산시,경상북도 경산시 삼성현마을2길 2 (여천동),경상북도 경산시 여천동 6-43,38577,35.805894,128.795029,정상,,없음,False,영업중,2013-11-27,5,5,1,1,1,5,5130000,2023-04-18 10:10:42
2,PHMB520215130030042500001,(주)나누리엠에스,경상북도,경산시,"경상북도 경산시 경안로 123, 3층 (삼북동)",경상북도 경산시 삼북동 270-6,38630,35.818593,128.738003,정상,053-741-6839,유선,True,영업중,2021-02-02,5,3,0,1,1,5,5130000,2021-10-21 14:06:30
3,PHMB520135130030042500002,(주)디엔와이,경상북도,경산시,경상북도 경산시 성암로15길 10 (옥산동),,38673,35.824717,128.724117,정상,,없음,False,영업중,2013-03-28,5,5,1,1,1,5,5130000,2022-04-23 17:58:17
4,PHMB520145130030042500002,(주)제로그린,경상북도,경산시,"경상북도 경산시 백양로34길 2-8, 201호 (사동)",경상북도 경산시 사동 154번지,38605,35.810538,128.758607,정상,,없음,False,영업중,2014-02-12,5,5,1,1,1,5,5130000,2025-08-14 16:01:02
5,PHMB520115130030042500004,(주)지엠솔루션,경상북도,경산시,"경상북도 경산시 진량읍 선화로 11, GM빌딩 6층",경상북도 경산시 진량읍 선화리 720-32 GM빌딩,38489,35.873618,128.798976,정상,,없음,False,영업중,2011-12-20,5,6,1,1,1,5,5130000,2026-08-24 13:19:55
6,PHMB520225130030042500001,(주)한국어린이놀이시설안전관리,경상북도,경산시,"경상북도 경산시 경안로69길 7, 2층 (대평동)",경상북도 경산시 대평동 433-2,38503,35.837318,128.732794,정상,053-216-0731,유선,True,영업중,2017-05-10,5,3,0,1,1,5,5130000,2026-09-03 15:02:05
7,PHMB520215130030042500002,TD클린 홈케어,경상북도,경산시,경상북도 경산시 강변동로 104(중방동),경상북도 경산시 중방동 350-6,38627,35.820156,128.732944,정상,,없음,False,영업중,2021-04-12,5,3,0,1,1,5,5130000,2026-08-24 13:08:44
8,PHMB520255130030042500003,경북 크린,경상북도,경산시,"경상북도 경산시 압량읍 연지길 152, 110동 5층 505-2호 (경산 윤성3차아파트)",경상북도 경산시 압량읍 인안리 47 경산 윤성3차아파트,38492,35.865645,128.78957,정상,,없음,False,영업중,2025-04-14,2,3,0,1,1,2,5130000,2025-04-22 15:17:40
9,PHMB520245130030042500005,경산에어컨청소혜경클린,경상북도,경산시,"경상북도 경산시 경산로40길 11, 2층 (옥산동)",경상북도 경산시 옥산동 742-7,38675,35.826064,128.727394,정상,,없음,False,영업중,2024-10-17,5,3,0,1,1,5,5130000,2024-10-17 17:49:18
10,PHMB520155130030042500004,경산환경,경상북도,경산시,경상북도 경산시 서상길 95 (중방동),경상북도 경산시 중방동 351번지 6호,38627,35.82012,128.73314,정상,,없음,False,영업중,2015-10-22,5,5,0,1,1,5,5130000,2022-04-11 10:18:03
